source,li_sto,la_sto,zr_sto,li_dop_sto,la_dop_sto,zr_dop_sto,rel_dens_%,conductivity,log_cond,good_cond,li_dopant,la_dopant,zr_dopant,li_dop_ionicrad,la_dop_ionicrad,zr_dop_ionicrad,li_dop_enev,la_dop_enev,zr_dop_enev
10.1021/acsenergylett.8b00453,5.9,3,1.75,0.2,0,0.25,,5.20E-04,-3.283996656,1,al,,w,53,0,74,1.61,0,2.36
10.1039/c9ta00417c,6.75,3,1.75,0,0,0.25,99.6,4.30E-04,-3.366531544,1,,,ta,0,0,78,0,0,1.5
10.1063/1.5141764,6.75,3,1.75,0,0,0.25,80,5.00E-06,-5.301029996,0,,,bi,0,0,90,0,0,2.02
10.1007/978-3-319-52132-9_12,6.5,4,1.75,0,0,0.25,80.5,1.30E-06,-5.886056648,0,,,mo,0,0,73,0,0,2.16
10.1007/978-3-319-52132-9_12,6.5,4,1.75,0,0,0.25,87.1,1.74E-05,-4.759450752,0,,,mo,0,0,73,0,0,2.16
10.1007/978-3-319-52132-9_12,6.5,4,1.75,0,0,0.25,95.2,1.30E-04,-3.886056648,0,,,mo,0,0,73,0,0,2.16
10.1016/j.jpowsour.2010.11.089,6.75,3,1.75,0,0,0.25,,8.00E-04,-3.096910013,1,,,nb,0,0,78,0,0,1.6
10.1016/j.electacta.2015.08.046,6.5,3,1.75,0,0,0.25,93,4.90E-04,-3.30980392,1,,,w,0,0,74,0,0,2.36
10.1149/2.1031915jes,6.75,3,1.75,0,0,0.25,92,6.90E-04,-3.161150909,1,,,ta,0,0,78,0,0,1.5
10.1149/2.013405jes,6.75,3,1.75,0,0,0.25,96.7,6.55E-04,-3.1837587,1,,,ta,0,0,78,0,0,1.5
10.1039/C9SE01162E,5.9,3,1.8,0.3,0,0.2,92.19,3.72E-04,-3.42945706,1,ga,,nb,61,0,78,1.81,0,1.6
10.1039/C9SE01162E,6.05,3,1.8,0.25,0,0.2,91.77,5.04E-04,-3.297569464,1,ga,,nb,61,0,78,1.81,0,1.6
10.1039/C9SE01162E,6.2,3,1.8,0.2,0,0.2,93.123,7.20E-04,-3.142667504,1,ga,,nb,61,0,78,1.81,0,1.6
10.1039/C9SE01162E,6.35,3,1.8,0.15,0,0.2,94.46,7.39E-04,-3.131355562,1,ga,,nb,61,0,78,1.81,0,1.6
